string,dom_number,dom_x,dom_y,dom_z
1.0,1.0,-256.14,-521.08,496.03
1.0,2.0,-256.14,-521.08,479.01
1.0,3.0,-256.14,-521.08,461.99
1.0,4.0,-256.14,-521.08,444.97
1.0,5.0,-256.14,-521.08,427.95
1.0,6.0,-256.14,-521.08,410.93
1.0,7.0,-256.14,-521.08,393.91
1.0,8.0,-256.14,-521.08,376.88
1.0,9.0,-256.14,-521.08,359.86
1.0,10.0,-256.14,-521.08,342.84
1.0,11.0,-256.14,-521.08,325.82
1.0,12.0,-256.14,-521.08,308.8
1.0,13.0,-256.14,-521.08,291.78
1.0,14.0,-256.14,-521.08,274.76
1.0,15.0,-256.14,-521.08,257.74
1.0,16.0,-256.14,-521.08,240.72
1.0,17.0,-256.14,-521.08,223.7
1.0,18.0,-256.14,-521.08,206.68
1.0,19.0,-256.14,-521.08,189.66
1.0,20.0,-256.14,-521.08,172.64
1.0,21.0,-256.14,-521.08,155.62
1.0,22.0,-256.14,-521.08,138.59
1.0,23.0,-256.14,-521.08,121.57
1.0,24.0,-256.14,-521.08,104.55
1.0,25.0,-256.14,-521.08,87.53
1.0,26.0,-256.14,-521.08,70.51
1.0,27.0,-256.14,-521.08,53.49
1.0,28.0,-256.14,-521.08,36.47
1.0,29.0,-256.14,-521.08,19.45
1.0,30.0,-256.14,-521.08,2.43
1.0,31.0,-256.14,-521.08,-14.59
1.0,32.0,-256.14,-521.08,-31.61
1.0,33.0,-256.14,-521.08,-48.63
1.0,34.0,-256.14,-521.08,-65.65
1.0,35.0,-256.14,-521.08,-82.68
1.0,36.0,-256.14,-521.08,-99.7
1.0,37.0,-256.14,-521.08,-116.72
1.0,38.0,-256.14,-521.08,-133.74
1.0,39.0,-256.14,-521.08,-150.76
1.0,40.0,-256.14,-521.08,-167.78
1.0,41.0,-256.14,-521.08,-184.8
1.0,42.0,-256.14,-521.08,-201.82
1.0,43.0,-256.14,-521.08,-218.84
1.0,44.0,-256.14,-521.08,-235.86
1.0,45.0,-256.14,-521.08,-252.88
1.0,46.0,-256.14,-521.08,-269.9
1.0,47.0,-256.14,-521.08,-286.92
1.0,48.0,-256.14,-521.08,-303.95
1.0,49.0,-256.14,-521.08,-320.97
1.0,50.0,-256.14,-521.08,-337.99
1.0,51.0,-256.14,-521.08,-355.01
1.0,52.0,-256.14,-521.08,-372.03
1.0,53.0,-256.14,-521.08,-389.05
1.0,54.0,-256.14,-521.08,-406.07
1.0,55.0,-256.14,-521.08,-423.09
1.0,56.0,-256.14,-521.08,-440.11
1.0,57.0,-256.14,-521.08,-457.13
1.0,58.0,-256.14,-521.08,-474.15
1.0,59.0,-256.14,-521.08,-491.17
1.0,60.0,-256.14,-521.08,-504.4
2.0,1.0,-132.8,-501.45,500.07
2.0,2.0,-132.8,-501.45,483.05
2.0,3.0,-132.8,-501.45,466.03
2.0,4.0,-132.8,-501.45,449.01
2.0,5.0,-132.8,-501.45,431.99
2.0,6.0,-132.8,-501.45,414.97
2.0,7.0,-132.8,-501.45,397.95
2.0,8.0,-132.8,-501.45,380.93
2.0,9.0,-132.8,-501.45,363.91
2.0,10.0,-132.8,-501.45,346.89
2.0,11.0,-132.8,-501.45,329.87
2.0,12.0,-132.8,-501.45,312.85
2.0,13.0,-132.8,-501.45,295.83
2.0,14.0,-132.8,-501.45,278.8
2.0,15.0,-132.8,-501.45,261.78
2.0,16.0,-132.8,-501.45,244.76
2.0,17.0,-132.8,-501.45,227.74
2.0,18.0,-132.8,-501.45,210.72
2.0,19.0,-132.8,-501.45,193.7
2.0,20.0,-132.8,-501.45,176.68
2.0,21.0,-132.8,-501.45,159.66
2.0,22.0,-132.8,-501.45,142.64
2.0,23.0,-132.8,-501.45,125.62
2.0,24.0,-132.8,-501.45,108.6
2.0,25.0,-132.8,-501.45,91.58
2.0,26.0,-132.8,-501.45,74.56
2.0,27.0,-132.8,-501.45,57.54
2.0,28.0,-132.8,-501.45,40.51
2.0,29.0,-132.8,-501.45,23.49
2.0,30.0,-132.8,-501.45,6.47
2.0,31.0,-132.8,-501.45,-10.55
2.0,32.0,-132.8,-501.45,-27.57
2.0,33.0,-132.8,-501.45,-44.59
2.0,34.0,-132.8,-501.45,-61.61
2.0,35.0,-132.8,-501.45,-78.63
2.0,36.0,-132.8,-501.45,-95.65
2.0,37.0,-132.8,-501.45,-112.67
2.0,38.0,-132.8,-501.45,-129.69
2.0,39.0,-132.8,-501.45,-146.71
